,date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,open_delay,close_delay,high_delay,low_delay,pctChg_delay,date_delay
126,2015-07-10,sh.600519,257.0,283.0,251.96,265.59,257.94,25614930,6888908288.0,2.242993,2.9658,18.93832,5.24877,9.082066,49.536338,217.0,201.52,221.3,201.0,-8.0699,2015-07-27
127,2015-07-13,sh.600519,258.0,265.58,251.0,257.75,265.59,14892616,3838169456.0,1.304084,-2.9519,18.379276,5.093831,8.813971,48.074066,199.86,205.83,209.44,197.48,2.1387,2015-07-28
128,2015-07-14,sh.600519,255.0,255.18,247.2,249.05,257.75,9676830,2425239232.0,0.84736,-3.3754,17.758909,4.921896,8.516467,46.451392,207.78,207.74,210.0,202.13,0.928,2015-07-29
129,2015-07-15,sh.600519,247.5,252.7,243.28,251.26,249.05,10407746,2585923328.0,0.911363,0.8874,17.916496,4.965571,8.59204,46.863588,208.83,205.96,208.83,205.1,-0.8568,2015-07-30
130,2015-07-16,sh.600519,251.26,254.18,248.26,251.59,251.26,7281433,1826618384.0,0.637605,0.1313,17.940027,4.972093,8.603325,46.925138,206.7,206.83,206.93,203.0,0.4224,2015-07-31
131,2015-07-17,sh.600519,229.0,229.99,224.74,228.29,224.74,5641853,1284361184.0,0.449121,1.5796,17.906442,4.962785,8.587219,46.83729,205.0,209.56,209.99,203.0,1.3199,2015-08-03
132,2015-07-20,sh.600519,227.15,227.9,222.5,225.11,228.29,6793355,1531275696.0,0.540787,-1.393,17.657012,4.893655,8.467602,46.184863,209.26,211.97,213.98,209.26,1.15,2015-08-04
133,2015-07-21,sh.600519,221.75,224.2,220.0,221.66,225.11,5178996,1148423248.0,0.412276,-1.5326,17.386403,4.818655,8.337829,45.477041,212.93,207.19,213.85,206.94,-2.255,2015-08-05
134,2015-07-22,sh.600519,220.0,222.0,216.58,217.13,221.66,7085510,1552554832.0,0.564044,-2.0437,17.031082,4.720178,8.167431,44.54764,206.23,204.96,207.5,203.0,-1.0763,2015-08-06
135,2015-07-23,sh.600519,217.99,220.6,215.77,219.54,217.13,6474810,1411411696.0,0.515429,1.1099,17.220116,4.772569,8.258084,45.042089,207.49,206.93,208.6,205.6,0.9612,2015-08-07
